"PassengerId","Survived"
892,0
893,NA
894,NA
895,NA
896,1
897,0
898,1
899,0
900,NA
901,0
902,NA
903,NA
904,NA
905,NA
906,1
907,1
908,0
909,NA
910,0
911,NA
912,0
913,0
914,NA
915,0
916,1
917,0
918,1
919,NA
920,NA
921,0
922,0
923,NA
924,1
925,0
926,NA
927,NA
928,NA
929,0
930,NA
931,NA
932,0
933,NA
934,0
935,NA
936,1
937,NA
938,NA
939,NA
940,NA
941,1
942,1
943,NA
944,1
945,1
946,NA
947,0
948,0
949,NA
950,0
951,NA
952,NA
953,NA
954,NA
955,1
956,1
957,NA
958,1
959,0
960,NA
961,1
962,NA
963,NA
964,NA
965,NA
966,NA
967,NA
968,NA
969,NA
970,NA
971,NA
972,0
973,NA
974,NA
975,NA
976,NA
977,NA
978,NA
979,NA
980,NA
981,1
982,NA
983,NA
984,1
985,NA
986,NA
987,NA
988,1
989,NA
990,NA
991,NA
992,NA
993,0
994,NA
995,NA
996,1
997,NA
998,NA
999,0
1000,NA
1001,NA
1002,NA
1003,NA
1004,NA
1005,NA
1006,NA
1007,0
1008,0
1009,1
1010,NA
1011,1
1012,1
1013,0
1014,NA
1015,NA
1016,NA
1017,0
1018,NA
1019,1
1020,NA
1021,NA
1022,NA
1023,NA
1024,0
1025,0
1026,NA
1027,0
1028,NA
1029,NA
1030,NA
1031,0
1032,0
1033,NA
1034,0
1035,NA
1036,NA
1037,0
1038,NA
1039,0
1040,NA
1041,0
1042,NA
1043,NA
1044,NA
1045,0
1046,0
1047,NA
1048,NA
1049,NA
1050,NA
1051,NA
1052,NA
1053,1
1054,1
1055,NA
1056,NA
1057,1
1058,NA
1059,0
1060,NA
1061,NA
1062,NA
1063,NA
1064,NA
1065,NA
1066,0
1067,1
1068,NA
1069,NA
1070,1
1071,1
1072,NA
1073,0
1074,1
1075,NA
1076,1
1077,NA
1078,1
1079,0
1080,0
1081,NA
1082,0
1083,NA
1084,1
1085,NA
1086,1
1087,0
1088,1
1089,1
1090,NA
1091,NA
1092,1
1093,0
1094,0
1095,1
1096,0
1097,NA
1098,1
1099,NA
1100,NA
1101,NA
1102,NA
1103,NA
1104,NA
1105,NA
1106,1
1107,NA
1108,NA
1109,0
1110,1
1111,NA
1112,1
1113,NA
1114,1
1115,0
1116,NA
1117,1
1118,0
1119,NA
1120,NA
1121,0
1122,NA
1123,NA
1124,0
1125,NA
1126,0
1127,NA
1128,1
1129,NA
1130,NA
1131,1
1132,NA
1133,1
1134,0
1135,NA
1136,1
1137,1
1138,NA
1139,0
1140,1
1141,NA
1142,1
1143,NA
1144,NA
1145,NA
1146,NA
1147,NA
1148,NA
1149,NA
1150,NA
1151,NA
1152,0
1153,0
1154,1
1155,0
1156,NA
1157,NA
1158,NA
1159,0
1160,NA
1161,NA
1162,NA
1163,0
1164,NA
1165,0
1166,NA
1167,1
1168,NA
1169,0
1170,NA
1171,NA
1172,0
1173,NA
1174,1
1175,1
1176,0
1177,0
1178,NA
1179,NA
1180,NA
1181,0
1182,NA
1183,1
1184,NA
1185,1
1186,NA
1187,NA
1188,1
1189,0
1190,NA
1191,0
1192,0
1193,NA
1194,0
1195,NA
1196,0
1197,1
1198,1
1199,1
1200,0
1201,0
1202,0
1203,NA
1204,NA
1205,1
1206,1
1207,NA
1208,0
1209,0
1210,0
1211,NA
1212,0
1213,NA
1214,NA
1215,NA
1216,NA
1217,NA
1218,1
1219,NA
1220,0
1221,NA
1222,1
1223,NA
1224,0
1225,1
1226,0
1227,NA
1228,NA
1229,0
1230,NA
1231,1
1232,NA
1233,NA
1234,0
1235,1
1236,1
1237,NA
1238,NA
1239,NA
1240,0
1241,NA
1242,1
1243,NA
1244,NA
1245,0
1246,1
1247,NA
1248,1
1249,NA
1250,NA
1251,1
1252,0
1253,1
1254,NA
1255,NA
1256,1
1257,0
1258,0
1259,NA
1260,NA
1261,NA
1262,0
1263,NA
1264,NA
1265,NA
1266,1
1267,1
1268,0
1269,NA
1270,NA
1271,0
1272,0
1273,NA
1274,0
1275,1
1276,NA
1277,1
1278,NA
1279,NA
1280,0
1281,0
1282,NA
1283,1
1284,1
1285,NA
1286,0
1287,1
1288,NA
1289,1
1290,NA
1291,NA
1292,1
1293,0
1294,NA
1295,0
1296,0
1297,NA
1298,NA
1299,0
1300,NA
1301,NA
1302,NA
1303,1
1304,NA
1305,NA
1306,NA
1307,NA
1308,NA
1309,1
