timestamp,position_lat,position_long,distance,heart_rate,altitude,speed,power,cadence
1060642632,-139094807,1992136114,1.21,84,25.200000000000045,9.137,242,88
1060642633,-139094215,1992135320,10.33,84,25.399999999999977,9.094,254,87
1060642634,-139093682,1992134489,19.41,84,25.600000000000023,9.039,254,89
1060642635,-139093233,1992133617,28.42,86,25.799999999999955,8.99,258,90
1060642636,-139092903,1992132697,37.4,86,26,8.949,258,90
1060642637,-139092732,1992131739,46.33,90,26,8.921,258,89
1060642638,-139092736,1992130766,55.26,93,26.200000000000045,8.918,262,91
1060642639,-139092874,1992129803,64.19,95,26.200000000000045,8.929,262,91
1060642640,-139093091,1992128852,73.14,98,26.399999999999977,8.971,271,94
1060642641,-139093362,1992127906,82.17,100,26.399999999999977,9.077,276,92
1060642642,-139093675,1992126962,91.3,100,26.399999999999977,9.17,262,90
1060642643,-139094033,1992126021,100.54,100,26.399999999999977,9.287,271,92
1060642644,-139094434,1992125086,109.88,100,26.600000000000023,9.395,262,90
1060642645,-139094893,1992124165,119.33,101,26.600000000000023,9.488,254,90
1060642646,-139095411,1992123266,128.88,102,26.600000000000023,9.571,254,90
1060642647,-139095945,1992122368,138.49,106,26.600000000000023,9.645,258,92
1060642648,-139096533,1992121495,148.18,106,26.799999999999955,9.709,271,94
1060642649,-139097281,1992120757,157.91,106,26.799999999999955,9.739,271,95
1060642650,-139098214,1992120274,167.65,107,27,9.706,276,93
1060642651,-139099217,1992119985,177.32,108,27.200000000000045,9.625,271,95
1060642652,-139100227,1992119765,186.91,109,27.200000000000045,9.546,276,93
1060642653,-139101202,1992119451,196.42,110,27.399999999999977,9.455,267,93
1060642654,-139101931,1992118752,205.83,110,27.600000000000023,9.381,267,92
1060642655,-139102347,1992117819,215.21,110,27.600000000000023,9.378,276,96
1060642656,-139102609,1992116827,224.62,110,27.799999999999955,9.424,281,93
1060642657,-139102764,1992115807,234.08,111,27.799999999999955,9.481,276,96
1060642658,-139102829,1992114772,243.59,113,27.799999999999955,9.528,281,95
1060642659,-139102846,1992113728,253.15,114,27.799999999999955,9.59,286,94
1060642660,-139102809,1992112677,262.79,114,27.799999999999955,9.66,286,95
1060642661,-139102968,1992111634,272.5,115,28,9.739,281,93
1060642662,-139103475,1992110700,282.29,116,28,9.85,281,96
1060642663,-139104173,1992109878,292.22,116,28,9.991,304,96
1060642664,-139104924,1992109083,302.3,116,28,10.148,286,96
1060642665,-139105582,1992108191,312.52,116,28,10.258,292,96
1060642666,-139106129,1992107213,322.83,116,28,10.357,304,99
1060642667,-139106476,1992106134,333.25,116,28,10.482,322,99
