timestamp,position_lat,position_long,distance,heart_rate,altitude,speed,power,cadence
1061591451,-138986981,1991862352,1.52,81,4.399999999999977,11.444,222,82
1061591452,-138986365,1991863438,12.99,85,4.399999999999977,11.482,222,82
1061591453,-138985746,1991864526,24.49,85,4.399999999999977,11.519,214,80
1061591454,-138985122,1991865617,36.04,87,4.199999999999989,11.53,214,84
1061591455,-138984502,1991866706,47.55,87,4.199999999999989,11.484,231,83
1061591456,-138983885,1991867791,59.03,87,4,11.441,218,82
1061591457,-138983273,1991868873,70.45,86,4,11.396,218,82
1061591458,-138982663,1991869952,81.84,86,3.8000000000000114,11.361,218,83
1061591459,-138982056,1991871028,93.18,86,3.8000000000000114,11.332,210,81
1061591460,-138981453,1991872103,104.51,86,3.6000000000000227,11.294,214,78
1061591461,-138980872,1991873139,115.42,86,3.6000000000000227,11.271,214,81
1061591462,-138980296,1991874221,126.69,86,3.6000000000000227,11.274,218,81
1061591463,-138979853,1991875372,138.01,87,3.3999999999999773,11.345,210,79
1061591464,-138979478,1991876555,149.39,88,3.3999999999999773,11.391,222,81
1061591465,-138979182,1991877762,160.79,88,3.1999999999999886,11.414,222,82
1061591466,-138979003,1991878996,172.22,88,3,11.428,214,79
1061591467,-138978982,1991880244,183.67,88,3,11.473,210,78
1061591468,-138979162,1991881484,195.17,88,2.8000000000000114,11.491,205,78
1061591469,-138979533,1991882683,206.7,91,2.6000000000000227,11.541,214,80
1061591470,-138980029,1991883842,218.27,93,2.6000000000000227,11.595,218,82
1061591471,-138980619,1991884960,229.89,96,2.3999999999999773,11.622,222,83
1061591472,-138981372,1991885976,241.55,101,2.1999999999999886,11.694,218,80
1061591473,-138982253,1991886892,253.27,101,2.1999999999999886,11.716,210,80
1061591474,-138983236,1991887700,265.02,104,2,11.744,201,77
1061591475,-138984307,1991888385,276.77,105,1.8000000000000114,11.759,201,77
1061591476,-138985466,1991888907,288.55,105,1.6000000000000227,11.776,210,79
1061591477,-138986704,1991889172,300.31,105,1.6000000000000227,11.759,210,79
1061591478,-138987965,1991889058,312.1,106,1.3999999999999773,11.775,214,81
1061591479,-138989166,1991888640,323.89,106,1.1999999999999886,11.78,222,83
1061591480,-138990278,1991888022,335.66,106,1.1999999999999886,11.755,231,85
1061591481,-138991298,1991887262,347.42,107,1,11.735,235,85
1061591482,-138992233,1991886400,359.14,107,1,11.702,239,86
1061591483,-138993090,1991885465,370.82,108,0.8000000000000114,11.641,231,84
1061591484,-138993882,1991884483,382.44,109,0.8000000000000114,11.574,231,86
1061591485,-138994602,1991883455,393.99,109,0.8000000000000114,11.514,222,82
1061591486,-138995232,1991882376,405.48,109,0.8000000000000114,11.456,226,84
1061591487,-138995671,1991881212,416.89,108,0.8000000000000114,11.359,226,83
1061591488,-138996102,1991880056,428.2,108,0.8000000000000114,11.261,235,84
1061591489,-138996530,1991878910,439.42,108,0.8000000000000114,11.163,226,85
1061591490,-138996957,1991877775,450.54,110,0.8000000000000114,11.069,235,88
1061591491,-138997377,1991876649,461.57,110,0.8000000000000114,10.977,261,91
1061591492,-138997787,1991875529,472.51,110,0.8000000000000114,10.902,256,89
1061591493,-138998199,1991874415,483.4,109,0.8000000000000114,10.889,243,87
1061591494,-138998613,1991873301,494.31,109,0.8000000000000114,10.921,226,84
1061591495,-138999030,1991872189,505.2,109,0.8000000000000114,10.836,226,83
1061591496,-138999447,1991871086,516.01,110,0.8000000000000114,10.782,235,86
1061591497,-138999871,1991869996,526.75,110,0.8000000000000114,10.693,222,83
1061591498,-139000299,1991868913,537.42,110,0.8000000000000114,10.636,218,82
1061591499,-139000718,1991867837,548.02,108,0.8000000000000114,10.577,222,85
1061591500,-139001135,1991866762,558.6,108,0.8000000000000114,10.563,243,90
1061591501,-139001556,1991865692,569.15,108,0.8000000000000114,10.516,252,86
1061591502,-139001979,1991864630,579.65,108,0.8000000000000114,10.476,239,88
1061591503,-139002404,1991863571,590.11,108,0.8000000000000114,10.442,235,86
1061591504,-139002825,1991862516,600.54,116,0.8000000000000114,10.412,226,83
1061591505,-139003244,1991861462,610.95,119,0.6000000000000227,10.384,218,82
1061591506,-139003667,1991860413,621.33,119,0.6000000000000227,10.359,214,82
1061591507,-139004107,1991859384,631.61,119,0.6000000000000227,10.192,222,81
1061591508,-139004588,1991858394,641.73,119,0.6000000000000227,10.024,222,82
1061591509,-139005140,1991857464,651.67,119,0.39999999999997726,9.859,222,82
1061591510,-139005768,1991856607,661.46,119,0.39999999999997726,9.703,231,83
1061591511,-139006457,1991855824,671.06,119,0.6000000000000227,9.508,226,83
1061591512,-139007270,1991855218,680.46,119,0.6000000000000227,9.273,222,82
1061591513,-139008208,1991854912,689.62,119,0.6000000000000227,9.038,218,81
1061591514,-139009162,1991854789,698.55,119,0.8000000000000114,8.832,218,82
1061591515,-139010103,1991854718,707.3,119,0.8000000000000114,8.654,218,81
1061591516,-139011027,1991854690,715.87,119,0.8000000000000114,8.505,222,82
1061591517,-139011908,1991854722,724.04,119,0.8000000000000114,8.385,218,81
1061591518,-139012805,1991854767,732.36,119,0.8000000000000114,8.257,205,80
1061591519,-139013689,1991854812,740.57,121,0.8000000000000114,8.153,214,81
1061591520,-139014572,1991854852,748.77,122,0.8000000000000114,8.227,218,82
1061591521,-139015463,1991854885,757.04,122,0.8000000000000114,8.314,214,80
1061591522,-139016364,1991854921,765.41,124,0.8000000000000114,8.411,218,82
1061591523,-139017276,1991854960,773.87,124,0.8000000000000114,8.508,218,82
1061591524,-139018198,1991854999,782.44,123,0.8000000000000114,8.601,214,81
1061591525,-139019130,1991855037,791.1,123,0.8000000000000114,8.697,214,80
1061591526,-139020073,1991855065,799.85,123,0.8000000000000114,8.804,222,84
1061591527,-139021029,1991855099,808.73,123,0.8000000000000114,8.926,239,88
1061591528,-139021998,1991855136,817.72,123,0.8000000000000114,9.054,248,88
1061591529,-139022981,1991855176,826.85,123,0.8000000000000114,9.177,243,88
1061591530,-139023976,1991855218,836.09,123,0.8000000000000114,9.288,248,89
1061591531,-139024980,1991855261,845.42,124,0.8000000000000114,9.361,248,89
1061591532,-139025993,1991855313,854.82,124,0.8000000000000114,9.421,261,92
1061591533,-139026995,1991855422,864.16,124,0.8000000000000114,9.269,252,91
1061591534,-139027980,1991855548,873.37,124,0.8000000000000114,9.122,261,92
1061591535,-139028948,1991855683,882.42,124,0.8000000000000114,8.975,256,90
1061591536,-139029893,1991855849,891.32,124,0.8000000000000114,8.822,243,87
1061591537,-139030809,1991856089,900.09,124,1,8.705,235,87
1061591538,-139031665,1991856459,908.73,123,1,8.582,243,87
1061591539,-139032425,1991856984,917.27,123,1,8.48,239,88
1061591540,-139033064,1991857637,925.7,123,1,8.385,235,86
1061591541,-139033580,1991858384,934.06,121,1,8.32,248,91
1061591542,-139033971,1991859199,942.37,121,1,8.28,252,88
1061591543,-139034254,1991860053,950.63,121,1,8.234,239,85
1061591544,-139034460,1991860926,958.85,121,1,8.194,231,87
1061591545,-139034605,1991861806,967.03,121,1,8.168,231,85
1061591546,-139034712,1991862690,975.19,121,0.8000000000000114,8.146,226,83
1061591547,-139034793,1991863575,983.33,123,0.8000000000000114,8.135,222,83
1061591548,-139034859,1991864460,991.46,123,0.8000000000000114,8.111,218,82
1061591549,-139034921,1991865343,999.58,123,0.8000000000000114,8.129,210,81
1061591550,-139034973,1991866236,1007.77,123,0.8000000000000114,8.238,218,81
1061591551,-139034986,1991867141,1016.07,123,0.8000000000000114,8.331,226,83
1061591552,-139034975,1991868058,1024.48,123,0.8000000000000114,8.468,226,83
1061591553,-139034965,1991868989,1033.02,123,0.8000000000000114,8.599,218,82
1061591554,-139034962,1991869935,1041.69,123,0.8000000000000114,8.716,218,81
1061591555,-139034951,1991870892,1050.46,123,0.8000000000000114,8.823,214,79
1061591556,-139034945,1991871861,1059.34,124,0.8000000000000114,8.914,205,79
1061591557,-139034942,1991872838,1068.3,124,0.8000000000000114,8.993,201,78
1061591558,-139034942,1991873825,1077.34,124,0.8000000000000114,9.07,205,76
1061591559,-139034945,1991874820,1086.46,126,0.8000000000000114,9.14,197,76
